STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914007,CINCO RANCH H S,97,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914011,RAINES H S,65,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914009,MORTON RANCH H S,91,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914010,SEVEN LAKES H S,98,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914012,TOMPKINS H S,98,9/23/2019 0:00
TEXAS,48,4825200,TX-129903,KAUFMAN ISD,482520000000,TX-129903-129903001,KAUFMAN H S,99,9/23/2019 0:00
TEXAS,48,4825200,TX-129903,KAUFMAN ISD,482520000000,TX-129903-129903003,GARY W CAMPBELL H S,60,9/23/2019 0:00
TEXAS,48,4825230,TX-126906,KEENE ISD,482523000000,TX-126906-126906001,KEENE H S,85,9/23/2019 0:00
TEXAS,48,4825230,TX-126906,KEENE ISD,482523000000,TX-126906-126906002,ALTER LEARNING CTR,50,9/23/2019 0:00
TEXAS,48,4825260,TX-220907,KELLER ISD,482526000000,TX-220907-220907001,KELLER H S,97,9/23/2019 0:00
TEXAS,48,4825260,TX-220907,KELLER ISD,482526000000,TX-220907-220907039,NEW DIRECTION LRN CTR,50,9/23/2019 0:00
TEXAS,48,4825260,TX-220907,KELLER ISD,482526000000,TX-220907-220907002,FOSSIL RIDGE H S,92,9/23/2019 0:00
TEXAS,48,4825260,TX-220907,KELLER ISD,482526000000,TX-220907-220907004,CENTRAL H S,95,9/23/2019 0:00
TEXAS,48,4825260,TX-220907,KELLER ISD,482526000000,TX-220907-220907005,TIMBER CREEK H S,95,9/23/2019 0:00
TEXAS,48,4825290,TX-242905,KELTON ISD,482529000000,TX-242905-242905001,KELTON SCHOOL,87,9/23/2019 0:00
TEXAS,48,4825320,TX-129904,KEMP ISD,482532000000,TX-129904-129904001,KEMP H S,95,9/23/2019 0:00
TEXAS,48,4825440,TX-128902,KENEDY ISD,482544000000,TX-128902-128902001,KENEDY H S,80,9/23/2019 0:00
TEXAS,48,4825470,TX-113906,KENNARD ISD,482547000000,TX-113906-113906001,KENNARD H S,80,9/23/2019 0:00
TEXAS,48,4825500,TX-220914,KENNEDALE ISD,482550000000,TX-220914-220914001,KENNEDALE H S,91,9/23/2019 0:00
TEXAS,48,4825530,TX-175907,KERENS ISD,482553000000,TX-175907-175907001,KERENS SCHOOL,90,9/23/2019 0:00
TEXAS,48,4825560,TX-248901,KERMIT ISD,482556000000,TX-248901-248901001,KERMIT H S,90,9/23/2019 0:00
