STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516
TEXAS,48,4816180,DAINGERFIELD-LONE STAR ISD,4.81618E+11,DAINGERFIELD H S,GE95
TEXAS,48,4816200,DALHART ISD,4.8162E+11,DALHART H S,GE95
TEXAS,48,4816200,DALHART ISD,4.8162E+11,X I T SECONDARY SCHOOL,GE50
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,BRYAN ADAMS H S,94
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,W H ADAMSON H S,90
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SCHOOL OF BUSINESS AND MANAGEMENT,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,DAVID W CARTER H S,83
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,BOOKER T WASHINGTON SPVA MAGNET,GE99
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SCHOOL OF HEALTH PROFESSIONS,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,HILLCREST H S,86
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,THOMAS JEFFERSON H S,70
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,JUSTIN F KIMBALL H S,91
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,85-89
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,JAMES MADISON H S,75-79
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,NORTH DALLAS H S,84
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,L G PINKSTON H S,80-84
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,FRANKLIN D ROOSEVELT H S,75-79
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SEAGOVILLE H S,88
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SKYLINE H S,89
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SOUTH OAK CLIFF H S,75
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,H GRADY SPRUCE H S,77
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SUNSET H S,88
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,W W SAMUELL H S,86
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,W T WHITE H S,87
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,WOODROW WILSON H S,92
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SCHOOL OF SCIENCE AND ENGINEERING,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,JUDGE BAREFOOT SANDERS LAW MAGNET,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,SCHOOL FOR THE TALENTED AND GIFTED,GE90
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,HOSPITAL/HOMEBOUND,PS
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,GE90
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,MAYA ANGELOU H S,PS
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,MOISES E MOLINA H S,92
